"pages","dividpersonalwidgettextfollowingsiblingtext1followingsiblingtext1precedingsiblingdiv1textselftext","","","","","dividpersonalwidgettextprecedingsiblingprecedingsiblingprecedingsiblingdiv1textselftext","","","dividfbrootprecedingsiblingtextprecedingsiblingprecedingsiblingprecedingsiblingfollowingsiblingtext1selftext","","","dividpost779textselftext","dividpersonalwidgettextfollowingsiblingtext1followingsiblingtext1followingsiblingtext1precedingsiblingdiv1textselftext","","","","","dividpersonalwidgettextprecedingsiblingprecedingsiblingprecedingsiblingdiv1a1followingsiblingtext1selftext","","","dividpost743h11precedingsiblingprecedingsiblinga1followingsiblingtext1selftext","dividpersonalwidgettextfollowingsiblingtext1followingsiblingtext1precedingsiblingdiv1a1followingsiblingtext1selftext","","","","","dividpersonalwidgetdiv1followingsiblingtext1precedingsiblingdiv1textselftext","dividpost743h11followingsiblingtext1precedingsiblingprecedingsiblingbr1followingsiblingtext1selftext","dividpersonalwidgetdiv1followingsiblingtext1followingsiblingtext1precedingsiblingdiv1a1followingsiblingtext1selftext","","dividpost779p1br1followingsiblingtext1selftext","dividpersonalwidgetdiv1followingsiblingtext1followingsiblingtext1precedingsiblingdiv1textselftext","","dividpost779h11textselftext","spanidmore779followingsiblingtext1selftext","dividpersonalwidgettextprecedingsiblingprecedingsiblingprecedingsiblingprecedingsiblingdiv1textselftext","","dividpersonalwidgettextprecedingsiblingprecedingsiblingdiv1a1followingsiblingtext1selftext","","","","dividpost743h11textselftext","dividpersonalwidgettextfollowingsiblingtext1followingsiblingtext1precedingsiblingprecedingsiblingdiv1textselftext","","",""
"61.html","-","-","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","-","-","","-","-","","","-","-","-","-","-","-","","-","-","-","-"
"64.html","-","-","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","-","-","","-","-","","","-","-","-","-","-","-","","-","-","-","-"
"44.html","-","-","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","-","-","","-","-","","","-","-","-","-","-","-","","-","-","-","-"
"47.html","-","-","-","-","-","-","-","-","-","-","-","da","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","-","-","Sembra che il velivolo, prima di cadere, abbia urtato i cavi dell?alta tensione a causa del volo a bassa quota.","-","-","Un ultraleggero � precipitato sulla statale 640 nei pressi di Favara","Il pilota, Salvatore Scannella, di 55 anni, originario di Campofranco, nel Nisseno, � morto ma il bilancio sarebbe potuto essere molto pi� pesante se il tratto di strada non fosse stato chiuso per i lavori.","-","-","-","-","-","-","","-","-","-","-"
"58.html","-","-","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","-","","","-","-","-","-","","-","","-","","","-","-","","","-","-","-","-","-","","","-","-","-","-"
"41.html","-","-","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","-","-","","-","-","","","-","-","-","-","-","-","","-","-","-","-"
"33.html","-","-","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","-","-","","-","-","","","-","-","-","-","-","-","","-","-","-","-"
"39.html","-","-","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","-","-","","-","-","","","-","-","-","-","-","-","","-","-","-","-"
"52.html","-","-","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","-","","","-","-","-","-","","-","","-","","","-","-","","","-","-","-","-","-","","","-","-","-","-"
"36.html","-","-","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","-","-","","-","-","","","-","-","-","-","-","-","","-","-","-","-"
"63.html","-","-","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","-","-","","-","-","","","-","-","-","-","-","-","","-","-","-","-"
"55.html","-","-","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","-","-","","-","-","","","-","-","-","-","-","-","","-","-","-","-"
"35.html","-","-","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","-","-","","-","-","","","-","-","-","-","-","-","","-","-","-","-"
"38.html","-","-","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","-","-","","-","-","","","-","-","-","-","-","-","","-","-","-","-"
"32.html","-","-","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","-","-","","-","-","","","-","-","-","-","-","-","","-","-","-","-"
"49.html","-","-","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","-","-","","-","-","","","-","-","-","-","-","-","","-","-","-","-"
"40.html","-","-","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","-","-","","-","-","","","-","-","-","-","-","-","","-","-","-","-"
"51.html","-","-","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","-","","","-","-","-","-","","-","","-","","","-","-","","","-","-","-","-","-","","","-","-","-","-"
"43.html","-","-","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","-","-","","-","-","","","-","-","-","-","-","-","","-","-","-","-"
"27.html","-","-","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","-","","","-","-","-","-","","-","","-","","","-","-","","","-","-","-","-","-","","","-","-","-","-"
