"pages","dividrespondprecedingsiblingprecedingsiblingp1text1selftext","","dividrespondprecedingsiblingprecedingsiblingp1textselftext","","dividgglcptchrecaptcha1111256403followingsiblingtext1precedingsiblinglabel1textselftext","","","","dividresponddiv1p1text1selftext","","dividgglcptchrecaptcha840319236followingsiblingtext1precedingsiblinglabel1textselftext","","","","articleiddivcomment780textprecedingsiblingp1textselftext","","","dividresponddiv1p1textselftext","","inputidcommentpostidprecedingsiblingprecedingsiblinglabel1textselftext","","","","articleiddivcomment781div1followingsiblingtext1precedingsiblingtext1selftext","","","",""
"11.html","Non ce l?ha fatta il M. R. coinvolto nel pomeriggio del 9 agosto in un incidente stradale lungo la provinciale 412 nel comune di Castel San Giovanni, in Provincia di Piacenza.","","Non ce l?ha fatta il M. R. coinvolto nel pomeriggio del 9 agosto in un incidente stradale lungo la provinciale 412 nel comune di Castel San Giovanni, in Provincia di Piacenza.","","","","","","Non ce l?ha fatta il M. R. coinvolto nel pomeriggio del 9 agosto in un incidente stradale lungo la provinciale 412 nel comune di Castel San Giovanni, in Provincia di Piacenza.","","","","","","","","","Non ce l?ha fatta il M. R. coinvolto nel pomeriggio del 9 agosto in un incidente stradale lungo la provinciale 412 nel comune di Castel San Giovanni, in Provincia di Piacenza.","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
"56.html","La strada per Santa Caterina � stata riaperta alle 17 di oggi, d","opo la chiusura che era scattata in mattinata per la frana del Ruinon","La strada per Santa Caterina � stata riaperta alle 17 di oggi, d",".","","","","","La strada per Santa Caterina � stata riaperta alle 17 di oggi, d","opo la chiusura che era scattata in mattinata per la frana del Ruinon","","","","","","","","La strada per Santa Caterina � stata riaperta alle 17 di oggi, d",".","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
"28.html","Ha fatto un numero Davide Fede al Gran Premio Inter Club Ponchiera. La corsa per Allievi di domenica � stata caratterizzata da un vero e proprio show del campioncino del Pedale Senghese.","","Ha fatto un numero Davide Fede al Gran Premio Inter Club Ponchiera. La corsa per Allievi di domenica � stata caratterizzata da un vero e proprio show del campioncino del Pedale Senghese.","","","","","","Ha fatto un numero Davide Fede al Gran Premio Inter Club Ponchiera. La corsa per Allievi di domenica � stata caratterizzata da un vero e proprio show del campioncino del Pedale Senghese.","","","","","","","","","Ha fatto un numero Davide Fede al Gran Premio Inter Club Ponchiera. La corsa per Allievi di domenica � stata caratterizzata da un vero e proprio show del campioncino del Pedale Senghese.","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
"42.html","Non accennano a diminuire, nonostante sia il mese di agosto, gli incidenti sul lavoro in Lombardia: quattro persone oggi sono finite in ospedale in gravissime condizioni. Due nel Bresciano e due nel Cremonese.","","Non accennano a diminuire, nonostante sia il mese di agosto, gli incidenti sul lavoro in Lombardia: quattro persone oggi sono finite in ospedale in gravissime condizioni. Due nel Bresciano e due nel Cremonese.","","","","","","Non accennano a diminuire, nonostante sia il mese di agosto, gli incidenti sul lavoro in Lombardia: quattro persone oggi sono finite in ospedale in gravissime condizioni. Due nel Bresciano e due nel Cremonese.","","","","","","","","","Non accennano a diminuire, nonostante sia il mese di agosto, gli incidenti sul lavoro in Lombardia: quattro persone oggi sono finite in ospedale in gravissime condizioni. Due nel Bresciano e due nel Cremonese.","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
"17.html","","","","","","","","","","","","","","","","","","","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
"25.html","Il vecchio edificio dell?oratorio San Rocco a Sondrio non c?� pi�.","","Il vecchio edificio dell?oratorio San Rocco a Sondrio non c?� pi�.","","","","","","Il vecchio edificio dell?oratorio San Rocco a Sondrio non c?� pi�.","","","","","","","","","Il vecchio edificio dell?oratorio San Rocco a Sondrio non c?� pi�.","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
"48.html","","","","","","","","","Il fatto che nessuno si sia fatto male ha davvero del miracoloso. Basti pensare che solo l?altra settimana un episodio ?analogo?, avvenuto sulla medesima strada,","si � tramutato in tragedia ed � costato la vita a un 38enne.","","","","","","","","Il fatto che nessuno si sia fatto male ha davvero del miracoloso. Basti pensare che solo l?altra settimana un episodio ?analogo?, avvenuto sulla medesima strada,","L?arteria ?incriminata? � la Statale 36 che nella serata di ieri � stata percorsa in contromano da un automobilista.","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
"22.html","Il quattro di coppia junior italiano, nel quale milita Leonardo Tedoldi, alfiere della Canottieri Retica, si � conquistato la finale ai mondiali di canottaggio in corso a Tokyo.","","Il quattro di coppia junior italiano, nel quale milita Leonardo Tedoldi, alfiere della Canottieri Retica, si � conquistato la finale ai mondiali di canottaggio in corso a Tokyo.","","","","","","Il quattro di coppia junior italiano, nel quale milita Leonardo Tedoldi, alfiere della Canottieri Retica, si � conquistato la finale ai mondiali di canottaggio in corso a Tokyo.","","","","","","","","","Il quattro di coppia junior italiano, nel quale milita Leonardo Tedoldi, alfiere della Canottieri Retica, si � conquistato la finale ai mondiali di canottaggio in corso a Tokyo.","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
"47.html","In corso il recupero.","","In corso il recupero.","","","","","","In corso il recupero.","","","","","","","","","In corso il recupero.","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
"30.html","L?esordio degli atleti sulla nuova pista di atletica di Livigno ? situata nei pressi del Centro Aquagranda Active You ? � stato un successo.","","L?esordio degli atleti sulla nuova pista di atletica di Livigno ? situata nei pressi del Centro Aquagranda Active You ? � stato un successo.","","","","","","L?esordio degli atleti sulla nuova pista di atletica di Livigno ? situata nei pressi del Centro Aquagranda Active You ? � stato un successo.","","","","","","","","","L?esordio degli atleti sulla nuova pista di atletica di Livigno ? situata nei pressi del Centro Aquagranda Active You ? � stato un successo.","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
"41.html","Fan in delirio per Aida Yespica a Bormio.","","Fan in delirio per Aida Yespica a Bormio.","","","","","","Fan in delirio per Aida Yespica a Bormio.","","","","","","","","","Fan in delirio per Aida Yespica a Bormio.","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
"13.html","Storica medaglia d?argento ai campionati del mondo per un atleta valchiavennasco. Leonardo Tedoldi, a bordo del quattro di coppia, � secondo ai campionati del mondo junior di canottaggio in corso di svolgimento a Tokyo.","","Storica medaglia d?argento ai campionati del mondo per un atleta valchiavennasco. Leonardo Tedoldi, a bordo del quattro di coppia, � secondo ai campionati del mondo junior di canottaggio in corso di svolgimento a Tokyo.","","","","","","Storica medaglia d?argento ai campionati del mondo per un atleta valchiavennasco. Leonardo Tedoldi, a bordo del quattro di coppia, � secondo ai campionati del mondo junior di canottaggio in corso di svolgimento a Tokyo.","","","","","","","","","Storica medaglia d?argento ai campionati del mondo per un atleta valchiavennasco. Leonardo Tedoldi, a bordo del quattro di coppia, � secondo ai campionati del mondo junior di canottaggio in corso di svolgimento a Tokyo.","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
"39.html","Sono 54 i posti aggiuntivi a contratto inseriti nella rete dei servizi socioassistenziali per l?ATS Montagna, che include le province di Brescia e Sondrio. Lo prevede la delibera approvata dalla Giunta regionale, su proposta dell?assessore al Welfare Giulio Gallera. Nel dettaglio la suddivisione dei posti per struttura e per provincia:","","Sono 54 i posti aggiuntivi a contratto inseriti nella rete dei servizi socioassistenziali per l?ATS Montagna, che include le province di Brescia e Sondrio. Lo prevede la delibera approvata dalla Giunta regionale, su proposta dell?assessore al Welfare Giulio Gallera. Nel dettaglio la suddivisione dei posti per struttura e per provincia:","","","","","","Sono 54 i posti aggiuntivi a contratto inseriti nella rete dei servizi socioassistenziali per l?ATS Montagna, che include le province di Brescia e Sondrio. Lo prevede la delibera approvata dalla Giunta regionale, su proposta dell?assessore al Welfare Giulio Gallera. Nel dettaglio la suddivisione dei posti per struttura e per provincia:","","","","","","","","","Sono 54 i posti aggiuntivi a contratto inseriti nella rete dei servizi socioassistenziali per l?ATS Montagna, che include le province di Brescia e Sondrio. Lo prevede la delibera approvata dalla Giunta regionale, su proposta dell?assessore al Welfare Giulio Gallera. Nel dettaglio la suddivisione dei posti per struttura e per provincia:","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
"10.html","In Valdidentro non � agosto senza la magica Notte Viola, l?appuntamento per eccellenza dell?estate; anche quest?anno, il prossimo 16 agosto, il centro di Isolaccia si tinger� di viola, dando vita ad un evento unico capace di coinvolgere grandi e piccini.","","In Valdidentro non � agosto senza la magica Notte Viola, l?appuntamento per eccellenza dell?estate; anche quest?anno, il prossimo 16 agosto, il centro di Isolaccia si tinger� di viola, dando vita ad un evento unico capace di coinvolgere grandi e piccini.","","","","","","In Valdidentro non � agosto senza la magica Notte Viola, l?appuntamento per eccellenza dell?estate; anche quest?anno, il prossimo 16 agosto, il centro di Isolaccia si tinger� di viola, dando vita ad un evento unico capace di coinvolgere grandi e piccini.","","","","","","","","","In Valdidentro non � agosto senza la magica Notte Viola, l?appuntamento per eccellenza dell?estate; anche quest?anno, il prossimo 16 agosto, il centro di Isolaccia si tinger� di viola, dando vita ad un evento unico capace di coinvolgere grandi e piccini.","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
"36.html","Una piena improvvisa la causa della morte dei due turisti in val Bodengo.","","Una piena improvvisa la causa della morte dei due turisti in val Bodengo.","","","","","","Una piena improvvisa la causa della morte dei due turisti in val Bodengo.","","","","","","","","","Una piena improvvisa la causa della morte dei due turisti in val Bodengo.","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
"55.html","Il CdA della Banca Popolare di Sondrio ha approvato oggi la semestrale al 30 giugno. Ha inoltre varato una cessione di crediti deteriorati per un valore pari a un miliardo di euro.","","Il CdA della Banca Popolare di Sondrio ha approvato oggi la semestrale al 30 giugno. Ha inoltre varato una cessione di crediti deteriorati per un valore pari a un miliardo di euro.","","","","","","Il CdA della Banca Popolare di Sondrio ha approvato oggi la semestrale al 30 giugno. Ha inoltre varato una cessione di crediti deteriorati per un valore pari a un miliardo di euro.","","","","","","","","","Il CdA della Banca Popolare di Sondrio ha approvato oggi la semestrale al 30 giugno. Ha inoltre varato una cessione di crediti deteriorati per un valore pari a un miliardo di euro.","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
"35.html","","","","","","","","","Da sempre, come vogliono tradizione e natura, la notte di San Lorenzo � il momento dell?anno migliore per ammirare la volta celeste: speranzose di esprimere i loro desideri pi� intimi, sempre pi� persone vanno alla ricerca del posto migliore in cui aspettare che il fenomeno naturale delle stelle cadenti regali momenti indimenticabili. A Livigno, durante questa serata tutte le luci del paese si spengono per lasciare il posto alle pi� tenui candele e lanterne: in questa atmosfera magica ha inizio la Notte Nera, che ogni anno vede le vie centrali del Piccolo Tibet animarsi con musica, balli, folklore, assaggi di prodotti tipici e spettacoli di artisti di strada.","","","","","","","","","Da sempre, come vogliono tradizione e natura, la notte di San Lorenzo � il momento dell?anno migliore per ammirare la volta celeste: speranzose di esprimere i loro desideri pi� intimi, sempre pi� persone vanno alla ricerca del posto migliore in cui aspettare che il fenomeno naturale delle stelle cadenti regali momenti indimenticabili. A Livigno, durante questa serata tutte le luci del paese si spengono per lasciare il posto alle pi� tenui candele e lanterne: in questa atmosfera magica ha inizio la Notte Nera, che ogni anno vede le vie centrali del Piccolo Tibet animarsi con musica, balli, folklore, assaggi di prodotti tipici e spettacoli di artisti di strada.","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
"38.html","","","","","","","","","Gioved� 8 agosto, Fabio Molinari, Dirigente dell?Ufficio Scolastico Territoriale di Sondrio, insieme a Simona Pedrazzi, Consigliere Regionale, ha visitato Livigno dove ha incontrato il Sindaco Damiano Bormolini e l?Amministrazione comunale.","","","","","","","","","Gioved� 8 agosto, Fabio Molinari, Dirigente dell?Ufficio Scolastico Territoriale di Sondrio, insieme a Simona Pedrazzi, Consigliere Regionale, ha visitato Livigno dove ha incontrato il Sindaco Damiano Bormolini e l?Amministrazione comunale.","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
"32.html","","","","","","","","","","","","","","","","","","","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
"21.html","Una mostra a Chiareggio di Chiesa racconta il loro inesorabile ritiro.","","Una mostra a Chiareggio di Chiesa racconta il loro inesorabile ritiro.","","","","","","Una mostra a Chiareggio di Chiesa racconta il loro inesorabile ritiro.","","","","","","","","","Una mostra a Chiareggio di Chiesa racconta il loro inesorabile ritiro.","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
"46.html","E? stato siglato un importante accordo sul fronte dell?idroelettrico. La svizzera Swisspower Renewable ha infatti acquisito il 50% delle quote azionarie di Energia e Ambiente, societ� della Bissi Holding.","","E? stato siglato un importante accordo sul fronte dell?idroelettrico. La svizzera Swisspower Renewable ha infatti acquisito il 50% delle quote azionarie di Energia e Ambiente, societ� della Bissi Holding.","","","","","","E? stato siglato un importante accordo sul fronte dell?idroelettrico. La svizzera Swisspower Renewable ha infatti acquisito il 50% delle quote azionarie di Energia e Ambiente, societ� della Bissi Holding.","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","Prima ci succhiano il danaro Pubblico e poi non ancora sazi, si fanno comprare dagli stranieri, capitalizzando una seconda volta.","Energie rinnovabili = guadagno dei furbi e furto alla Sovranit� !","Se gli impianti li paghiamo noi, perch� li vendono agli altri, il diritto di prelazione dove sta ?","E? stato siglato un importante accordo sul fronte dell?idroelettrico. La svizzera Swisspower Renewable ha infatti acquisito il 50% delle quote azionarie di Energia e Ambiente, societ� della Bissi Holding.","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","Sergio","ha detto:","","3 Agosto 2019 alle 12:52","Un paio di anni fa?. tutti i politici?. ?L? acqua � nostra? ora la paghiamo pi� che dalle altri parti della lombardia e, a quanto pare, viene sfruttata per far capitalizzare gli altri?"
"49.html","","","","","","","","","","","","","","","","","","","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
"40.html","Ciclista milanese stroncato da un malore durante un allenamento a Gera Lario.","","Ciclista milanese stroncato da un malore durante un allenamento a Gera Lario.","","","","","","Ciclista milanese stroncato da un malore durante un allenamento a Gera Lario.","","","","","","","","","Ciclista milanese stroncato da un malore durante un allenamento a Gera Lario.","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
"24.html","La Sagra di Vetto a Lanzada ha fatto il pienone confermandosi un appuntamento estivo da record.","","La Sagra di Vetto a Lanzada ha fatto il pienone confermandosi un appuntamento estivo da record.","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","La Sagra di Vetto a Lanzada ha fatto il pienone confermandosi un appuntamento estivo da record.","","","","","","","","","La Sagra di Vetto a Lanzada ha fatto il pienone confermandosi un appuntamento estivo da record.","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
"43.html","","","","","","","","","Un ragazzo di 10 anni di Roma si � perso ieri nei boschi sopra Dazio, mentre stava facendo una passeggiata con altre persone.","","","","","","","","","Un ragazzo di 10 anni di Roma si � perso ieri nei boschi sopra Dazio, mentre stava facendo una passeggiata con altre persone.","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
"27.html","Nuovamente chiusa la strada per Santa Caterina a causa del pericolo derivante dalla frana del Ruinon.","","Nuovamente chiusa la strada per Santa Caterina a causa del pericolo derivante dalla frana del Ruinon.","","","","","","Nuovamente chiusa la strada per Santa Caterina a causa del pericolo derivante dalla frana del Ruinon.","","","","","","","","","Nuovamente chiusa la strada per Santa Caterina a causa del pericolo derivante dalla frana del Ruinon.","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
"19.html","Raggazza di 13 anni in ospedale per abuso di alcol. E? avvenuto nella tarda serata di ieri, 9 agosto 2019.","","Raggazza di 13 anni in ospedale per abuso di alcol. E? avvenuto nella tarda serata di ieri, 9 agosto 2019.","","","","","","Raggazza di 13 anni in ospedale per abuso di alcol. E? avvenuto nella tarda serata di ieri, 9 agosto 2019.","","","","","","","","","Raggazza di 13 anni in ospedale per abuso di alcol. E? avvenuto nella tarda serata di ieri, 9 agosto 2019.","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","",""
