"pages","dividrespondprecedingsiblingprecedingsiblingtext1selftext","","","","","","","dividgglcptchrecaptcha1111256403precedingsiblinglabel1textselftext","","","","videoidvideo629481precedingsiblingtextselftext","","","","","dividrespondtextdiv1p1textselftext","dividresponddiv1h21precedingsiblingtext1selftext","inputidsubmitprecedingsiblingprecedingsiblinglabel1textselftext","","","","dividgglcptchrecaptcha1579897711precedingsiblinglabel1textselftext","","","","videoidvideo629481precedingsiblingprecedingsiblingprecedingsiblingprecedingsiblingtextselftext","","","dividrespondprecedingsiblingprecedingsiblingprecedingsiblingdiv1h21text1selftext"
"11.html","Cronaca","Tiranese","11 Agosto 2019","0 commenti","Schianto a Piacenza, muore 36enne valtellinese","L'incidente � avvenuto venerd� 9 agosto.","","","","","","","","","","","Non ce l?ha fatta il M. R. coinvolto nel pomeriggio del 9 agosto in un incidente stradale lungo la provinciale 412 nel comune di Castel San Giovanni, in Provincia di Piacenza.","Non ce l?ha fatta il M. R. coinvolto nel pomeriggio del 9 agosto in un incidente stradale lungo la provinciale 412 nel comune di Castel San Giovanni, in Provincia di Piacenza.","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","","","","","L'incidente � avvenuto venerd� 9 agosto."
"28.html","Sport","Sondrio","8 Agosto 2019","0 commenti","Gran Premio Inter Club Ponchiera, lo show di Davide Fede ? FOTO","La corsa riservata agli Allievi non ha tradito le attese: � stata spettacolare.","","","","","","","","","","","Ha fatto un numero Davide Fede al Gran Premio Inter Club Ponchiera. La corsa per Allievi di domenica � stata caratterizzata da un vero e proprio show del campioncino del Pedale Senghese.","Ha fatto un numero Davide Fede al Gran Premio Inter Club Ponchiera. La corsa per Allievi di domenica � stata caratterizzata da un vero e proprio show del campioncino del Pedale Senghese.","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","","","","","La corsa riservata agli Allievi non ha tradito le attese: � stata spettacolare."
"42.html","Cronaca","regionale","9 Agosto 2019","0 commenti","Ancora due gravi incidenti sul lavoro in Lombardia","Non accennano a diminuire, nonostante sia il mese di agosto, gli incidenti sul lavoro in Lombardia: quattro persone oggi sono finite in ospedale. Due nel Bresciano e due nel Cremonese.","","","","","","","","","","","Non accennano a diminuire, nonostante sia il mese di agosto, gli incidenti sul lavoro in Lombardia: quattro persone oggi sono finite in ospedale in gravissime condizioni. Due nel Bresciano e due nel Cremonese.","Non accennano a diminuire, nonostante sia il mese di agosto, gli incidenti sul lavoro in Lombardia: quattro persone oggi sono finite in ospedale in gravissime condizioni. Due nel Bresciano e due nel Cremonese.","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","","","","","Non accennano a diminuire, nonostante sia il mese di agosto, gli incidenti sul lavoro in Lombardia: quattro persone oggi sono finite in ospedale. Due nel Bresciano e due nel Cremonese."
"21.html","Attualit�","Sondrio","10 Agosto 2019","0 commenti","I nostri ghiacciai stanno sparendo, le foto shock","Roberto Caccialanza ha scattato le immagini nell'arco di 30 anni.","","","","","","","","","","","Una mostra a Chiareggio di Chiesa racconta il loro inesorabile ritiro.","Una mostra a Chiareggio di Chiesa racconta il loro inesorabile ritiro.","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","","","","","Roberto Caccialanza ha scattato le immagini nell'arco di 30 anni."
"46.html","Attualit�","provinciale","3 Agosto 2019","2 commenti","Idroelettrico, gli svizzeri fanno shopping in Valtellina","Su Centro Valle in edicola il servizio completo.","","","","","","","","","","","E? stato siglato un importante accordo sul fronte dell?idroelettrico. La svizzera Swisspower Renewable ha infatti acquisito il 50% delle quote azionarie di Energia e Ambiente, societ� della Bissi Holding.","E? stato siglato un importante accordo sul fronte dell?idroelettrico. La svizzera Swisspower Renewable ha infatti acquisito il 50% delle quote azionarie di Energia e Ambiente, societ� della Bissi Holding.","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","","","","","Su Centro Valle in edicola il servizio completo."
"17.html","Cronaca","Bassa Valle","10 Agosto 2019","0 commenti","Fungiatt ferito recuperato dall?elisoccorso VIDEO","L'uomo � stato raggiunto e trasportato in ospedale.","","","","","","","","","","","","Intervento dei soccorsi nel pomeriggio di ieri, 9 agosto 2019, per un uomo di 54 anni residente a Tartano.","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","","","","","L'uomo � stato raggiunto e trasportato in ospedale."
"25.html","Attualit�","Sondrio","10 Agosto 2019","0 commenti","Nuovo oratorio San Rocco, si posano le fondamenta","Le attivit� si svolgeranno all'Istituto Pio XII durante i lavori.","","","","","","","","","","","Il vecchio edificio dell?oratorio San Rocco a Sondrio non c?� pi�.","Il vecchio edificio dell?oratorio San Rocco a Sondrio non c?� pi�.","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","","","","","Le attivit� si svolgeranno all'Istituto Pio XII durante i lavori."
"40.html","Cronaca","Alto Lago","9 Agosto 2019","0 commenti","Ciclista muore a Gera Lario","L'uomo, 73 anni, era sul Lago di Como per un allenamento.","","","","","","","","","","","Ciclista milanese stroncato da un malore durante un allenamento a Gera Lario.","Ciclista milanese stroncato da un malore durante un allenamento a Gera Lario.","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","","","","","L'uomo, 73 anni, era sul Lago di Como per un allenamento."
"22.html","Sport","Valchiavenna","10 Agosto 2019","0 commenti","Tedoldi � in finale ai Mondiali di canottaggio","Il quattro di coppia junior, in cui milita l'atleta della Canottieri Retica, si giocher� il podio mondiale domani","","","","","","","","","","","Il quattro di coppia junior italiano, nel quale milita Leonardo Tedoldi, alfiere della Canottieri Retica, si � conquistato la finale ai mondiali di canottaggio in corso a Tokyo.","Il quattro di coppia junior italiano, nel quale milita Leonardo Tedoldi, alfiere della Canottieri Retica, si � conquistato la finale ai mondiali di canottaggio in corso a Tokyo.","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","","","","","Il quattro di coppia junior, in cui milita l'atleta della Canottieri Retica, si giocher� il podio mondiale domani"
"24.html","Attualit�","Sondrio","10 Agosto 2019","0 commenti","Grande successo per la Sagra di Vetto","Registrato il tutto esaurito.","","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","","","La Sagra di Vetto a Lanzada ha fatto il pienone confermandosi un appuntamento estivo da record.","La Sagra di Vetto a Lanzada ha fatto il pienone confermandosi un appuntamento estivo da record.","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","","","","","Registrato il tutto esaurito."
"27.html","Attualit�","Alta Valle","8 Agosto 2019","0 commenti","Frana del Ruinon, nuovamente chiusa la strada per Santa Caterina ? FOTO","Oggi pomeriggio un vertice in Prefettura.","","","","","","","","","","","Nuovamente chiusa la strada per Santa Caterina a causa del pericolo derivante dalla frana del Ruinon.","Nuovamente chiusa la strada per Santa Caterina a causa del pericolo derivante dalla frana del Ruinon.","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","","","","","Oggi pomeriggio un vertice in Prefettura."
"19.html","Cronaca","Valchiavenna","10 Agosto 2019","0 commenti","13enne finisce in ospedale per abuso di alcol","Intervento dei soccorsi nella tarda serata di venerd� 9 agosto.","","","","","","","","","","","Raggazza di 13 anni in ospedale per abuso di alcol. E? avvenuto nella tarda serata di ieri, 9 agosto 2019.","Raggazza di 13 anni in ospedale per abuso di alcol. E? avvenuto nella tarda serata di ieri, 9 agosto 2019.","Commento","Nome","Email","Ai sensi dell?Art. 7 del Regolamento EU 679/2016, dichiara di aver preso visione dell?informativa ed esprime liberamente il consenso al","","","","","","","","Intervento dei soccorsi nella tarda serata di venerd� 9 agosto."
