"pages","dividtaboolabelowarticlethumbnailsarticle1header1div1p1textselftext","","dividmobileintersholderprecedingsiblingtitle1textselftext","dividadvmiddlep1textselftext","","","","","","","","","","dividadvmiddlep1strong1followingsiblingtext1selftext","dividtaboolabelowarticlethumbnailsarticle1header1div1p1text1selftext","","","","",""
"53.html","L'incidente si � verificato alle 11.15 di questa mattina, c'� anche un ferito grave","","Incidente mortale in Val Badia, la vittima � un 46enne di Fiera di Primiero - Cronaca - Alto Adige",". Incidente mortale questa mattina, attorno alle 11.15, in val Badia, sulla strada statale 224, tra Pederoa e Pedraces","","","","","","","","","",". Incidente mortale questa mattina, attorno alle 11.15, in val Badia, sulla strada statale 224, tra Pederoa e Pedraces","L'incidente si � verificato alle 11.15 di questa mattina, c'� anche un ferito grave","(foto Vigili del fuoco volontari)","","","",""
"38.html","Nuovo incidente dalle tragiche conseguenze sulle strade dell'Alto Adige nei pressi di Burgusio","","Scontro auto-moto, un morto e due feriti - Venosta - Alto Adige","Ancora sangue sulle strade altoatesine. Una persona ha perso la vita questa mattina (10 agosto) sulla statale 40 nell?impatto frontale fra una moto e un?auto.","","","","","","","","","","Ancora sangue sulle strade altoatesine. Una persona ha perso la vita questa mattina (10 agosto) sulla statale 40 nell?impatto frontale fra una moto e un?auto.","Nuovo incidente dalle tragiche conseguenze sulle strade dell'Alto Adige nei pressi di Burgusio","","","","",""
"28.html","La decisione legata all'uscita dal mercato","","Banca cancella debito clienti, � regalo - Italia-Mondo - Alto Adige","(ANSA) - NEW YORK, 12 AGO - JPMorgan realizza il sogno di milioni di persone. La banca cancella il debito delle carte di credito dei suoi clienti in Canada: "Prendetelo come un regalo".","","","","","","","","","","","La decisione legata all'uscita dal mercato","","","","",""
"42.html","Una carriera in Europa. Dopo il Carducci e la laurea in Economia, l?impegno per l?ambiente nella Commissione europea. �Biodiversit� da tutelare e norme coraggiose contro l?inquinamento�","","Andrea Vettori, il bolzanino a Bruxelles che cerca di salvare il mondo dalla plastica  - Bolzano - Alto Adige","Andrea Vettori, bolzanino, lavora presso le istituzioni europee da oltre dieci anni. Diplomato al liceo classico Carducci, ha studiato economia a Milano. Dopo alcuni tirocini, ha lavorato per quattro anni al Parlamento europeo ed � diventato funzionario della Commissione europea. Da sei anni si occupa di protezione e uso del territorio come Vice Capo Unit� della Direzione Generale Ambiente.","Dopo essermi laureato in economia, sono arrivato a Bruxelles per un tirocinio e mi sono fermato: ho lavorato per una ONG e poi al Parlamento europeo, prima di diventare funzionario della Commissione europea.","Prima di lavorare in Europa avevo l?impressione di un?amministrazione burocratica e lontana. Poi a Bruxelles ho conosciuto persone preparate e motivate, che hanno lasciato il proprio paese per portare avanti il progetto di mantenere la pace nel continente e migliorare la qualit� di vita dei cittadini. Certo, ci sono aspetti da migliorare, ma non dimentichiamo che per occuparsi di 500 milioni di cittadini, i funzionari dell?Unione sono 43.000, una cifra che pi� o meno corrisponde al totale dei dipendenti pubblici in Alto Adige.","Secondo l?Eurobarometro 2019 il 45% ha un'immagine positiva dell?Unione, mentre il 17% ne ha una negativa. Da parte mia ho incontrato due volte gli studenti del mio vecchio liceo, il Carducci di Bolzano: i ragazzi conoscono l?Europa pi� di quanto la conoscessi io alla loro et�, sono interessati e affascinati dalle possibilit� offerte per studiare, lavorare e sviluppare i propri progetti in Europa.","Oggi chiunque lavori con una prospettiva di medio o lungo termine � cosciente delle sfide poste dal degrado ambientale e dai cambiamenti climatici. Secondo gli esperti del Word Economic Forum di Davos, sei dei 10 maggiori rischi per l?economia mondiale sono relativi all?ambiente. E i giovani, che per natura guardano a come sar� il mondo fra dieci o venti anni, sono in prima linea per chiedere misure per correggere gli errori del passato.","Negli ultimi 40 anni le emissioni di inquinanti specifici nell'aria, nell'acqua e nel suolo sono state ridotte. Forse i pi� anziani ancora ricordano le piogge acide sulle foreste del centro Europa, e i fiumi e i laghi inquinati degli anni ?70, e il mare Adriatico coperto di mucillagini a fine anni ?80. Un altro esempio � il buco nell?ozono, un?emergenza ambientale che si sta oggi riducendo grazie al divieto dei gas HCFC.","Nel mondo, la produzione di plastica � aumentata di 20 volte in 50 anni e si prevede un raddoppio nei prossimi 20 anni. Le materie plastiche rappresentano l'85% dei rifiuti marini e, sotto forma di microplastica, sono presenti anche nell'aria, nell'acqua e nel cibo, con effetti sulla nostra salute ancora sconosciuti. In seguito all'iniziativa sui sacchetti di plastica nel 2015, che ha portato il 72% degli europei ad averne ridotto l'uso, la UE ha adottato l?anno scorso una nuova direttiva sulla plastica monouso che sar� lo strumento giuridico pi� ambizioso a livello mondiale: verranno banditi dal mercato i dieci prodotti di plastica monouso trovati pi� di frequente sulle spiagge e nei mari d'Europa.","Bastoncini cotonati, posate, piatti, cannucce, agitatori per bevande, aste per palloncini, contenitori per alimenti e bevande in polistirene espanso: insieme alle reti da pesca abbandonate, questi prodotti costituiscono il 70% dei rifiuti marini e la normativa li ridurr� di oltre la met�, evitando danni ambientali che altrimenti costerebbero 22 miliardi di euro entro il 2030, evitando l'emissione di 3,4 milioni di tonnellate di CO2.","Nel 2011 la Commissione europea aveva adottato una strategia con l'obiettivo di porre fine alla perdita di biodiversit� e al degrado dei servizi ecosistemici entro il 2020. Inoltre, la rete europea ?Natura 2000?, sviluppata per proteggere le specie e gli habitat pi� a rischio, copre oggi circa il 20% del territorio europeo e il 6% delle zone marine. Tuttavia, secondo l?ultima relazione sullo stato della natura europea, solo un quarto (23%) delle specie protette nell?ambito della cosiddetta ?direttiva Habitat? si trova in buono stato di conservazione, mentre oltre la met� (60%) � in uno stato sfavorevole. E per quanto riguarda gli habitat stessi, solo il 16% si trova in uno stato di conservazione favorevole.","Si stima che ?80% della legislazione ambientale nazionale sia in attuazione delle norme europee. Esempi concreti sono la certezza che l?acqua che esce dai nostri rubinetti non ponga alcun rischio per la nostra salute e che tutti i prodotti in vendita nei negozi rispettino livelli minimi di sicurezza. La Provincia di Bolzano, con un cofinanziamento europeo, ha installato impianti fotovoltaici sui suoi edifici, mentre il Comune ha partecipato a un progetto di cooperazione europeo con un piano d?azione per ridurre del 23% le emissioni di CO2 in settori quali edifici e mobilit�. Lo stesso tunnel del Brennero � un progetto che senza l?UE non esisterebbe e che � volto a spostare il trasporto di merci dall?autostrada alla ferrovia, riducendo l?inquinamento.","Dopo essermi laureato in economia, sono arrivato a Bruxelles per un tirocinio e mi sono fermato: ho lavorato per una ONG e poi al Parlamento europeo, prima di diventare funzionario della Commissione europea.","Una carriera in Europa. Dopo il Carducci e la laurea in Economia, l?impegno per l?ambiente nella Commissione europea. �Biodiversit� da tutelare e norme coraggiose contro l?inquinamento�","","","","",""
"49.html","L'incidente poco prima delle ore 14. La vittima � una turista ceca","","Tragedia a passo Madriccio, muore dopo una caduta di 200 metri - Cronaca - Alto Adige",". Una cittadina della repubblica ceca di 64 anni, Marta Dudova, � morta nel primo pomeriggio a seguito di un incidente nel gruppo dell'Ortles.","","","","","","","","","",". Una cittadina della repubblica ceca di 64 anni, Marta Dudova, � morta nel primo pomeriggio a seguito di un incidente nel gruppo dell'Ortles.","L'incidente poco prima delle ore 14. La vittima � una turista ceca","","","","",""
"45.html","Travolto dallo scandalo di abusi sessuali e traffico di minori","","Il finanziere miliardario Epstein suicida in carcere - Italia-Mondo - Alto Adige","Jeffrey Epstein, il finanziere miliardario travolto da uno scandalo sessuale e accusato di abusi, sfruttamento della prostituzione femminile e traffico di minori, si � suicidato in carcere. Lo riporta la Nbc citando fonti.","","","","","","","","","","Jeffrey Epstein, il finanziere miliardario travolto da uno scandalo sessuale e accusato di abusi, sfruttamento della prostituzione femminile e traffico di minori, si � suicidato in carcere. Lo riporta la Nbc citando fonti.","Travolto dallo scandalo di abusi sessuali e traffico di minori","","","","",""
"48.html","Diverse squadre di soccorso dei vigili del fuoco sono intervenute nella notte per le ricerche. L'uomo � stato ritrovato nel lago di Fortezza ed � morto successivamente ad Innsbruck","","Fortezza, si butta nell'Isarco per sfuggire ai Carabinieri e muore - Cronaca - Alto Adige",". Tragedia nella notte a Fortezza, dove un uomo, di cui non si conoscono ancora le generalit�, ha perso la vita gettandosi nelle acque dell'Isarco.","","","","","","","","","",". Tragedia nella notte a Fortezza, dove un uomo, di cui non si conoscono ancora le generalit�, ha perso la vita gettandosi nelle acque dell'Isarco.","Diverse squadre di soccorso dei vigili del fuoco sono intervenute nella notte per le ricerche. L'uomo � stato ritrovato nel lago di Fortezza ed � morto successivamente ad Innsbruck","(foto Vigili del fuoco di Varna)","","","",""
"51.html","Lite scoppiata nel parcheggio. Due uomini a confronto, uno, dopo essere stato colpito al volto, estrae l'arma e spara. Il colpo non va a segno e, di rimbalzo, centra la fiancata di un'auto","","Sparatoria in via Buozzi davanti all'Interspar - Bolzano - Alto Adige",". Sparatoria questo pomeriggio, poco prima delle 17, in via Buozzi, nel parcheggio davanti all'Interspar, durante un litigio tra due uomini.","","","","","","","","","",". Sparatoria questo pomeriggio, poco prima delle 17, in via Buozzi, nel parcheggio davanti all'Interspar, durante un litigio tra due uomini.","Lite scoppiata nel parcheggio. Due uomini a confronto, uno, dopo essere stato colpito al volto, estrae l'arma e spara. Il colpo non va a segno e, di rimbalzo, centra la fiancata di un'auto","","","","",""
"43.html","Un primo incidente si � verificato sulla Via Alta per Merano, l'altro tra la Forcella dei Laghi e il Lago di Latte un paio d'ore dopo","","Due persone precipitate nel burrone: sono gravi - Merano - Alto Adige","Due incidenti, due dinamiche simili e stesse conseguenze: il ricovero in ospedale in gravi condizioni. Entrambi gli incidenti si sono verificati nel meranese.","","","","","","","","","","Due incidenti, due dinamiche simili e stesse conseguenze: il ricovero in ospedale in gravi condizioni. Entrambi gli incidenti si sono verificati nel meranese.","Un primo incidente si � verificato sulla Via Alta per Merano, l'altro tra la Forcella dei Laghi e il Lago di Latte un paio d'ore dopo","","","","",""
"19.html","Servono nuovi approfondimenti a ricerca di diossine","","Rogo Faenza, domani risultati controlli - Italia-Mondo - Alto Adige","(ANSA) - BOLOGNA, 12 AGO - Slitta a domani la pubblicazione dei controlli dell'Arpae sulla qualit� dell'aria, in seguito all'incendio scoppiato in un magazzino contenente materiali di vario tipo a Faenza (Ravenna). Ne d� notizia il Comune.","","","","","","","","","","","Servono nuovi approfondimenti a ricerca di diossine","","","","",""
