"pages","dividcommentstextprecedingsiblingprecedingsiblingh21textselftext","dividcommentsprecedingsiblingul1precedingsiblingprecedingsiblingp1strong1text1selftext","","dividcommentsprecedingsiblingul1precedingsiblingprecedingsiblingp1strong1textselftext","","dividcommentsprecedingsiblingul1precedingsiblingprecedingsiblingp1textselftext","","","","","","","","","","","","","","","","","","","","","","","","",""
"20.html","Chiusi in anticipo i lavori tra il nodo di Palmanova e l?area di servizio di Gonars","primo tratto della terza corsia dell?A4","","primo tratto della terza corsia dell?A4","","E? ufficialmente aperto da questa mattina il",". Completati in anticipo rispetto alla tabella di marcia i",".","","","","","","","","","","","","","","","","","","","","","","",""
"26.html","Infortunio domestico in un'abitazione di Udine. La donna � precipitata da un'altezza di 3 metri","Infortunio","","Infortunio","","domestico in un'","dove la badante, nel tentativo di recuperare la biancheria intima che aveva steso poco prima - i panni erano finiti su alcune lastre di plexiglass - � caduta di sotto, precipitando per 3 metri.","","","","","","","","","","","","","","","","","","","","","","","",""
"37.html","Venerd� 2 agosto, sul grande palco dell?area concerti, andr� in scena l?evento dedicato ai grandi successi di una decade che non smette di affascinare","59� Festival di Majano","","59� Festival di Majano","","Torna il fine settimana al","con decine di eventi che spaziano dalla grande musica live alle mostre d?arte, dal tempo libero alla gastronomia. Il primo grande appuntamento del week end richiamer� migliaia di fan di un periodo preciso della musica italiana e internazionale, gli",". Domani,",", alle 21.00 sul grande palco dell?area concerti, andr� infatti in scena l?evento",", la festa pi� amata dagli",". L?evento, firmato da",", ripercorrer� i successi di quello storico decennio musicale grazie ad","in consolle e a",", mattatore della serata, che presenter� gli ospiti che si esibiranno dal vivo, tra i pi� grandi nomi della musica nazionale e internazionale di quegli anni.","Protagonisti a","saranno quindi tre icone che hanno letteralmente segnato quegli anni:",", con la celebre ?Comprami?,",", autore di ?Kalimba de Luna?, e",", che ha firmato le mitiche ?I Like Chopin? e ?Lunatic?. Un appuntamento, quello con ?80 Festival, divenuto un classico della programmazione estiva del Festival di Majano.","Il programma del fine settimana vedr� poi altri due grandi concerti, quelli dei","e il",". Durante tutte le giornate del festival sono inoltre visitabili due interessanti",", quella personale dell?artista friulano","dal titolo ?Siamo qui per bellezza? (alla Sala Ciro di Pers) e quella della","dal titolo ?Mosaici Contemporanei? (Palazzo delle Esposizioni).","Non mancher� nel corso del fine settimana il",", con la prima delle due gite ?","?. Scoprire paesaggi, ascoltare storie, assaggiare vini, birre e prodotti tipici del territorio su una strada che fa incrociare natura, cultura ed enogastronomia.",", con partenza alle 14.00 dal Festival, la gita si svolger� nel cividalese, toccando la Distilleria Ceschia (Nimis), la Cantina Ronc dai Luchis (Faedis) e il Birrificio Campestre (Corno di Rosazzo), per poi rientrare al festival per la cena. Info e programma completo del 59� Festival di Majano su www.promajano.it","",""
"11.html","Firmato il protocollo d'intesa tra Regione-Comune, che potr� utilizzare parte dei palazzi Pera e Sbrojavacca","Barbara","","Barbara","",""Con questo atto siglato oggi restituiamo alla Citt� di Pordenone e a tutto il suo territorio un palazzo che ha un elevato valore simbolico per la Destra Tagliamento, riportando cos� un equilibrio venuto a mancare con la riforma degli enti locali". Lo ha affermato l'assessore alle Finanze e patrimonio","firmando oggi a",", con il sindaco","nella sala stampa della ex Provincia, un protocollo d'intesa con il Comune in base al quale la Regione metter� a disposizione del Municipio all'interno dei","alcuni uffici a uso esclusivo e altri, invece, in forma promiscua. La convenzione, la cui durata sar� di nove anni e che potr� essere successivamente rinnovata, prevede la cessione a titolo gratuito di alcune sale quali ad esempio quella della giunta, quella consiliare e la sala stampa, una porzione di uffici al secondo piano vicino alla presidenza e i locali dell'ex avvocatura. Il tutto verr� formalizzato con un successivo atto che sar� siglato a breve tra le parti.","","","","","","","","","","","","","","","","","","","","",""
"28.html","A Spilimbergo, un uomo rimasto ferito in maniera seria lungo lo scivolo del cortile","Spilimbergo","","Spilimbergo","","Stavano spingendo l'auto in avaria sullo scivolo all'interno di un cortile privato, ma uno di loro � stato travolto dal veicolo. � successo questa mattina a",", dove un uomo � rimasto ferito in maniera seria, anche se non sarebbe in pericolo di vita.","","","","","","","","","","","","","","","","","","","","","","","",""
"42.html","Causa maltempo, slitta da domani a sabato l'atteso appuntamento di No Borders. Cambia anche la location, i Laghi di Fusine","venerd� 2 agosto","","venerd� 2 agosto","","Originariamente previsto per la giornata di","sull?",", a causa delle avverse condizioni meteo previste il concerto speciale di","per il ?","? viene posticipato a","(inizio ore 12, ingresso gratuito). Si intitola","l?atto unico ideato dal cantautore, ri-trovatore e immaginatore appositamente per la celebre rassegna musicale organizzata nel comprensorio del Tarvisiano, al confine tra Italia, Austria e Slovenia.","","","","","","","","","","","","","","","","","","",""
"17.html","La ricerca dell'Istituto officina dei materiali del Consiglio nazionale delle ricerche di Trieste promette di aumentare l?efficacia del processo, migliorando la selezione degli ovociti utili al raggiungimento di una gravidanza di successo","","","","","Una collaborazione tra un gruppo di ricerca dell?Istituto officina dei materiali del Consiglio nazionale delle ricerche (Cnr-Iom) di Trieste e il reparto di Clinica ostetrica e ginecologica dell?Irccs materno infantile Burlo Garofolo di Trieste ha prodotto, negli ultimi anni, diversi risultati orientati ad aumentare la probabilit� di successo della fecondazione assistita per le coppie sterili. Gli esiti delle ultime ricerche sono stati pubblicati su European Biophysics Journal e su Acta BioMaterialia.","?Uno dei momenti pi� importanti per determinare la fortuna di un processo di fecondazione � la selezione degli ovociti, oggi condotta in base a caratteristiche esclusivamente morfologiche: il medico sceglie la cellula da fecondare rispetto alla forma considerata indice del suo migliore stato di salute. Il criterio � per� soggettivo e si basa fondamentalmente sull?esperienza dell?embriologo?, dice Laura Andolfi, ricercatrice del Cnr-Iom. ?L?obiettivo di queste ricerche � invece identificare un metodo pi� generalizzabile, non invasivo e capace di velocizzare il processo?.","Il problema � che gli ovociti non possano essere trattati, al fine di preservarli, e non c?� quindi modo di capirne lo stato di salute. ?Noi ci siamo chiesti se potessero essere usati come indicatori dello stato di salute degli ovociti le loro caratteristiche meccaniche, cio� la deformabilit�, l?elasticit� e la rigidit�. La risposta � risultata affermativa?, spiega Laura Andolfi, ricercatrice del Cnr-Iom. ?Gi� in una prima ricerca effettuata nel 2016 con microscopi atomici commerciali, abbiamo trovato una prima traccia di correlazione tra la deformabilit� e lo stato fisiologico o patologico degli ovociti. Ma questi microscopi operano attraverso sonde troppo piccole per comprimere uniformemente l?intero ovocita, che � una delle cellule pi� grandi del corpo umano, e quindi riescono a misurare solo la deformabilit� della loro membrana esterna?.","La seconda parte della ricerca ha riguardato pertanto la costruzione di sonde specifiche, pi� grandi, capaci di imprimere omogeneamente la forza su tutta la cellula. ?Con tali sonde abbiamo osservato e verificato la deformabilit� dell?intero l?ovocita, e non solo della membrana esterna, ottenendo un?ulteriore conferma dell?efficacia di questo parametro. Le caratteristiche meccaniche sono effettivamente utili per stabilire lo stato di salute delle cellule da fecondare?, prosegue Andolfi.","I ricercatori del Cnr hanno dimostrato l?efficacia di questa tecnica di indagine lavorando inizialmente su ovociti umani forniti dall?Irccs Burlo. ?A questo punto abbiamo voluto capire se l?analisi delle propriet� meccaniche fosse efficace nonostante i processi di crioconservazione cui gli ovociti possono essere sottoposti dopo l?estrazione?, aggiunge Marco Lazzarino del Cnr-Iom. ?Abbiamo dunque preso ovociti umani freschi, ne abbiamo misurato le propriet� elastiche, li abbiamo congelati e dopo qualche tempo ne abbiamo rimisurato le propriet�, confermando che la crioconservazione lascia l?ovocita inalterato. Inoltre, attraverso una serie di controlli incrociati condotti con gli embriologi del Burlo abbiamo verificato che anche le tecniche di misurazione delle propriet� meccaniche delle cellule rimangono efficaci dopo il congelamento?.","Il lavoro di ricerca, finanziato dal programma regionale BioMec, apre ora la strada alla sperimentazione diretta su ovociti animali per verificare l?efficacia del processo fino alla sua fase conclusiva, verificando cos� la correlazione tra la corretta selezione di ovociti e il raggiungimento di una gravidanza di successo.","Nell'immagine una sSequenza di passaggi a cui � soggetto normalmente l?ovocita nel processo di fecondazione in vitro (Ivf) e dove  potrebbe essere inserito il test meccanico, non invasivo, per la selezione dell?ovocita da fecondare","","","","","","","","","","","","","","","","","","",""
"25.html","Infortunio domestico in un'abitazione di Udine. La donna � precipitata da un'altezza di 3 metri","Infortunio","","Infortunio","","domestico in un'","dove la badante, nel tentativo di recuperare la biancheria intima che aveva steso poco prima - i panni erano finiti su alcune lastre di plexiglass - � caduta di sotto, precipitando per 3 metri.","","","","","","","","","","","","","","","","","","","","","","","",""
"22.html","Chiusi in anticipo i lavori tra il nodo di Palmanova e l?area di servizio di Gonars","primo tratto della terza corsia dell?A4","","primo tratto della terza corsia dell?A4","","E? ufficialmente aperto da questa mattina il",". Completati in anticipo rispetto alla tabella di marcia i",".","","","","","","","","","","","","","","","","","","","","","","",""
"44.html","Via libera al cantiere di sistemazione, grazie a un accordo tra Comune e privato","Sacile","","Sacile","","A",", l?","sar� sistemato. A dirlo � l'assessore comunale alle opere pubbliche e viabilit�",". "L?operazione non si � rivelata cos� semplice. Il progetto doveva ottenere il nulla osta di Fvg Strade. In funzione delle previsioni che riguardano la statale a est dell?abitato sacilese, � stato chiesto uno studio complessivo, che facesse sintesi di tutte le istanze. Procedure che sono state portate avanti, senza titubanze, sia dalla mia amministrazione sia da quella attuale guidata dal sindaco","", spiega Ceraolo.","","","","","","","","","","","","","","","","","","","","",""
"30.html","Gli amici della 21enne di Vidulis di Dignano hanno raggiunto la sede della Polstrada per deporre un sasso del Tagliamento e dire una preghiera","Nadia","","Nadia","","Oggi alcuni amici di","si sono recati a",", davanti alla Sede della Polstrada, dove, esattamente due anni fa, l'assassino si era consegnato alle forze dell'ordine e aveva restituito anche il corpo senza vita della 21enne di Vidulis.","","","","","","","","","","","","","","","","","","","","","","",""
"16.html","Venerd� 2 agosto, sul grande palco dell?area concerti, andr� in scena l?evento dedicato ai grandi successi di una decade che non smette di affascinare","59� Festival di Majano","","59� Festival di Majano","","Torna il fine settimana al","con decine di eventi che spaziano dalla grande musica live alle mostre d?arte, dal tempo libero alla gastronomia. Il primo grande appuntamento del week end richiamer� migliaia di fan di un periodo preciso della musica italiana e internazionale, gli",". Domani,",", alle 21.00 sul grande palco dell?area concerti, andr� infatti in scena l?evento",", la festa pi� amata dagli",". L?evento, firmato da",", ripercorrer� i successi di quello storico decennio musicale grazie ad","in consolle e a",", mattatore della serata, che presenter� gli ospiti che si esibiranno dal vivo, tra i pi� grandi nomi della musica nazionale e internazionale di quegli anni.","Protagonisti a","saranno quindi tre icone che hanno letteralmente segnato quegli anni:",", con la celebre ?Comprami?,",", autore di ?Kalimba de Luna?, e",", che ha firmato le mitiche ?I Like Chopin? e ?Lunatic?. Un appuntamento, quello con ?80 Festival, divenuto un classico della programmazione estiva del Festival di Majano.","Il programma del fine settimana vedr� poi altri due grandi concerti, quelli dei","e il",". Durante tutte le giornate del festival sono inoltre visitabili due interessanti",", quella personale dell?artista friulano","dal titolo ?Siamo qui per bellezza? (alla Sala Ciro di Pers) e quella della","dal titolo ?Mosaici Contemporanei? (Palazzo delle Esposizioni).","Non mancher� nel corso del fine settimana il",", con la prima delle due gite ?","?. Scoprire paesaggi, ascoltare storie, assaggiare vini, birre e prodotti tipici del territorio su una strada che fa incrociare natura, cultura ed enogastronomia.",", con partenza alle 14.00 dal Festival, la gita si svolger� nel cividalese, toccando la Distilleria Ceschia (Nimis), la Cantina Ronc dai Luchis (Faedis) e il Birrificio Campestre (Corno di Rosazzo), per poi rientrare al festival per la cena. Info e programma completo del 59� Festival di Majano su www.promajano.it","",""
"41.html","Causa maltempo, slitta da domani a sabato l'atteso appuntamento di No Borders. Cambia anche la location, i Laghi di Fusine","venerd� 2 agosto","","venerd� 2 agosto","","Originariamente previsto per la giornata di","sull?",", a causa delle avverse condizioni meteo previste il concerto speciale di","per il ?","? viene posticipato a","(inizio ore 12, ingresso gratuito). Si intitola","l?atto unico ideato dal cantautore, ri-trovatore e immaginatore appositamente per la celebre rassegna musicale organizzata nel comprensorio del Tarvisiano, al confine tra Italia, Austria e Slovenia.","","","","","","","","","","","","","","","","","","",""
"13.html","Tra i quattro capoluoghi, gli aumenti pi� consistenti a Trieste e Udine. I dati dello studio Uil","Servizio Politiche Territoriali Uil","","Servizio Politiche Territoriali Uil","","Dopo tre anni di blocco, da quest?anno ritorna la facolt� per le amministrazioni locali di manovrare di nuovo la leva fiscale. Se sul versante delle Regioni non sono stati apportati aumenti delle aliquote, diversa � la situazione per quanto riguarda le tasse comunali. Come sta andando? Secondo la rilevazione del",", aggiornata al 26 luglio, sulle tre maggiori imposte (Imu/Tasi, Irpef e Tari), non sono molti i Municipi che stanno rivedendo le tariffe, ma si tratta comunque di ritocchi di peso.","","","","","","","","","","","","","","","","","","","","","","","",""
