"pages","dividproductdescriptionshortp1text1selftext","asideidthumbnailsprecedingsiblingfigcaption1precedingsiblingtext1selftext","dividdescriptiondiv1h31p1textselftext","","","dividdescriptiondiv1p1textselftext","",""
"147.html","Pere Biologiche - naturali  vengono molto utilizzate in cucina, sia per piatti dolci sia per ricette salata. Le Pere Biologiche - naturali innanzitutto vengono preparate ottime macedonie, unite ad altri frutti, ottimi succhi e gustosi frullati anche per i pi� piccini. Con le Pere Biologiche - naturali si preparano anche degli ottimi dolci come ad esempio il panettone alle pere e cioccolato; crostata pere biologiche e cioccolato; oppure ricette salate come un buonissimo risotto alle pere biologiche e formaggio. Un ottimo frutto anche per i bambini per le propriet� benefiche che hanno!","Pere Biologiche - naturali  vengono molto utilizzate in cucina, sia per piatti dolci sia per ricette salata. Le Pere Biologiche - naturali innanzitutto vengono preparate ottime macedonie, unite ad altri frutti, ottimi succhi e gustosi frullati anche per i pi� piccini. Con le Pere Biologiche - naturali si preparano anche degli ottimi dolci come ad esempio il panettone alle pere e cioccolato; crostata pere biologiche e cioccolato; oppure ricette salate come un buonissimo risotto alle pere biologiche e formaggio. Un ottimo frutto anche per i bambini per le propriet� benefiche che hanno!","Pere Abate Biologiche - naturali:  nella categoria dei frutti, le pere biologiche sono uno dei prodotti maggiormente consumati e commercializzati, sia in Europa che in Italia. Abitudinariamente, molti usano sbucciare le pere, ma dal punto di vista strettamente dietetico si tratta di un'abitudine assolutamente poco consigliabile; la buccia delle Pere Biologiche - naturali contiene elevate quantit� di fibra alimentare, componente nutrizionale dotata di un elevatissimo potenziale saziante. Le Pere Biologiche - naturali contengono l' 84% del proprio peso in acqua; inoltre le pere contengono calcio, il quale riduce il rischio di osteoporosi; il boro, alleato del cervello e migliora la prontezza dei riflessi; la pectina, importante per lintestino. Le Pere Biologiche - naturali sono un frutto davvero gustoso, adatto per preparare dolci, frullati e anche macedonie da gustare fresche e in buona compagnia!!! Provale anche tu!","","","Pere Abate Biologiche - naturali:  nella categoria dei frutti, le pere biologiche sono uno dei prodotti maggiormente consumati e commercializzati, sia in Europa che in Italia. Abitudinariamente, molti usano sbucciare le pere, ma dal punto di vista strettamente dietetico si tratta di un'abitudine assolutamente poco consigliabile; la buccia delle Pere Biologiche - naturali contiene elevate quantit� di fibra alimentare, componente nutrizionale dotata di un elevatissimo potenziale saziante. Le Pere Biologiche - naturali contengono l' 84% del proprio peso in acqua; inoltre le pere contengono calcio, il quale riduce il rischio di osteoporosi; il boro, alleato del cervello e migliora la prontezza dei riflessi; la pectina, importante per lintestino. Le Pere Biologiche - naturali sono un frutto davvero gustoso, adatto per preparare dolci, frullati e anche macedonie da gustare fresche e in buona compagnia!!! Provale anche tu!","",""
"172.html","Pesche Tabacchiere Biologiche - naturali.  vengono molto utilizzate in cucina per piatti dolci. Con le Pesche Biologiche - naturali innanzitutto vengono preparate ottime macedonie, unite ad altri frutti, ottimi succhi e gustosi frullati anche per i pi� piccini. Ricche in fruttosio e acqua sono anche l?ideale per gli sportivi e per i bambini, da scegliere come snack salutare o per una riserva di energia. Un ottimo frutto anche per i bambini per le propriet� benefiche che hanno!","Pesche Tabacchiere Biologiche - naturali.  vengono molto utilizzate in cucina per piatti dolci. Con le Pesche Biologiche - naturali innanzitutto vengono preparate ottime macedonie, unite ad altri frutti, ottimi succhi e gustosi frullati anche per i pi� piccini. Ricche in fruttosio e acqua sono anche l?ideale per gli sportivi e per i bambini, da scegliere come snack salutare o per una riserva di energia. Un ottimo frutto anche per i bambini per le propriet� benefiche che hanno!","","","","","",""
"25.html","Il cavolo nero biologico � un ortaggio leggero e saporito, ricco di vitamine e di sali minerali.","Il cavolo nero biologico � un ortaggio leggero e saporito, ricco di vitamine e di sali minerali.","Non tutti sanno che il","� stato sempre utilizzato dalla medicina delle tradizioni (e quello nero � la qualit� migliore a tale scopo) per curare",". Come? � molto semplice: basta posizionare un paio di foglie preventivamente pestate sulla parte dolente, fissandole con un bendaggio. Questo genere di applicazioni pu� essere fatto anche aggiungendo alle foglie una manciata di crusca: avendo quest?ultima propriet� ?assorbenti?, accelera la guarigione del processo infiammatorio.","Non tutti sanno che il","� stato sempre utilizzato dalla medicina delle tradizioni (e quello nero � la qualit� migliore a tale scopo) per curare",". Come? � molto semplice: basta posizionare un paio di foglie preventivamente pestate sulla parte dolente, fissandole con un bendaggio. Questo genere di applicazioni pu� essere fatto anche aggiungendo alle foglie una manciata di crusca: avendo quest?ultima propriet� ?assorbenti?, accelera la guarigione del processo infiammatorio."
"22.html","Cavolo Cappuccio naturale BIOLOGICO in tutte le sue varianti, � una presenza tipica sulle nostre tavole per la maggior parte dell' anno, soprattutto dall' autunno in poi. Il Cavolo Cappuccio naturale BIOLOGICO � utilizzato cotto e crudo in insalata, unito ad altri ortaggi, viene anche usato per condire i primi piatti e anche come contorno. Con il Cavolo Cappuccio naturale BIOLOGICO e con molta fantasia si possono condire anche i piatti dei pi� piccini. Ottimo da mangiare anche nelle insalate miste, adatte a coloro che vogliono mantenere la linea, e soprattutto ottime da gustare fresche nelle giornate estive di caldo, anche al mare!!!","Cavolo Cappuccio naturale BIOLOGICO in tutte le sue varianti, � una presenza tipica sulle nostre tavole per la maggior parte dell' anno, soprattutto dall' autunno in poi. Il Cavolo Cappuccio naturale BIOLOGICO � utilizzato cotto e crudo in insalata, unito ad altri ortaggi, viene anche usato per condire i primi piatti e anche come contorno. Con il Cavolo Cappuccio naturale BIOLOGICO e con molta fantasia si possono condire anche i piatti dei pi� piccini. Ottimo da mangiare anche nelle insalate miste, adatte a coloro che vogliono mantenere la linea, e soprattutto ottime da gustare fresche nelle giornate estive di caldo, anche al mare!!!","Cavolo Cappuccio Verde BIOLOGICO � una delle verdure pi� nutrienti e salutari del mondo. Cavolo Cappuccio Verde BIOLOGICO dovrebbe essere considerato fondamentale per la nostra alimentazione, per via della ricchezza e variet� delle sua propriet� benefiche. Tra le caratteristiche benefiche del Cavolo Cappuccio Verde BIOLOGICO spiccano le propriet� antinfiammatorie. Il Cavolo Cappuccio Verde BIOLOGICO � anche ricco di ferro, contiene pi� ferro per caloria di una bistecca! Il Cavolo Cappuccio Verde BIOLOGICO possiede inoltre unalta percentuale di acqua, un basso valore energetico, un equilibrato contenuto vitaminico e un discreto contenuto in calcio, fosforo e potassio. Modeste le quantit� di glucidi e proteine. Inoltre pu� essere gustato anche nelle insalate miste, molto fresche ed estive! Con molta fantasia si possono decorare anche i piatti dei pi� piccoli!!!","","","Cavolo Cappuccio Verde BIOLOGICO � una delle verdure pi� nutrienti e salutari del mondo. Cavolo Cappuccio Verde BIOLOGICO dovrebbe essere considerato fondamentale per la nostra alimentazione, per via della ricchezza e variet� delle sua propriet� benefiche. Tra le caratteristiche benefiche del Cavolo Cappuccio Verde BIOLOGICO spiccano le propriet� antinfiammatorie. Il Cavolo Cappuccio Verde BIOLOGICO � anche ricco di ferro, contiene pi� ferro per caloria di una bistecca! Il Cavolo Cappuccio Verde BIOLOGICO possiede inoltre unalta percentuale di acqua, un basso valore energetico, un equilibrato contenuto vitaminico e un discreto contenuto in calcio, fosforo e potassio. Modeste le quantit� di glucidi e proteine. Inoltre pu� essere gustato anche nelle insalate miste, molto fresche ed estive! Con molta fantasia si possono decorare anche i piatti dei pi� piccoli!!!","",""
"145.html","Pere Biologiche  vengono molto utilizzate in cucina, sia per piatti dolci sia per ricette salata. Le Pere Biologiche - naturali innanzitutto vengono preparate ottime macedonie, unite ad altri frutti, ottimi succhi e gustosi frullati anche per i pi� piccini. Con le Pere Biologiche - naturali si preparano anche degli ottimi dolci come ad esempio il panettone alle pere e cioccolato; crostata pere biologiche e cioccolato; oppure ricette salate come un buonissimo risotto alle pere biologiche e formaggio. Un ottimo frutto anche per i bambini per le propriet� benefiche che hanno!","Pere Biologiche  vengono molto utilizzate in cucina, sia per piatti dolci sia per ricette salata. Le Pere Biologiche - naturali innanzitutto vengono preparate ottime macedonie, unite ad altri frutti, ottimi succhi e gustosi frullati anche per i pi� piccini. Con le Pere Biologiche - naturali si preparano anche degli ottimi dolci come ad esempio il panettone alle pere e cioccolato; crostata pere biologiche e cioccolato; oppure ricette salate come un buonissimo risotto alle pere biologiche e formaggio. Un ottimo frutto anche per i bambini per le propriet� benefiche che hanno!","Pere Biologiche - naturali:  nella categoria dei frutti, le pere biologiche sono uno dei prodotti maggiormente consumati e commercializzati, sia in Europa che in Italia. Abitudinariamente, molti usano sbucciare le pere, ma dal punto di vista strettamente dietetico si tratta di un'abitudine assolutamente poco consigliabile; la buccia delle Pere Biologiche - naturali contiene elevate quantit� di fibra alimentare, componente nutrizionale dotata di un elevatissimo potenziale saziante. Le Pere Biologiche - naturali contengono l' 84% del proprio peso in acqua; inoltre le pere contengono calcio, il quale riduce il rischio di osteoporosi; il boro, alleato del cervello e migliora la prontezza dei riflessi; la pectina, importante per lintestino. Le Pere Biologiche - naturali sono un frutto davvero gustoso, adatto per preparare dolci, frullati e anche macedonie da gustare fresche e in buona compagnia!!! Provale anche tu!","","","Pere Biologiche - naturali:  nella categoria dei frutti, le pere biologiche sono uno dei prodotti maggiormente consumati e commercializzati, sia in Europa che in Italia. Abitudinariamente, molti usano sbucciare le pere, ma dal punto di vista strettamente dietetico si tratta di un'abitudine assolutamente poco consigliabile; la buccia delle Pere Biologiche - naturali contiene elevate quantit� di fibra alimentare, componente nutrizionale dotata di un elevatissimo potenziale saziante. Le Pere Biologiche - naturali contengono l' 84% del proprio peso in acqua; inoltre le pere contengono calcio, il quale riduce il rischio di osteoporosi; il boro, alleato del cervello e migliora la prontezza dei riflessi; la pectina, importante per lintestino. Le Pere Biologiche - naturali sono un frutto davvero gustoso, adatto per preparare dolci, frullati e anche macedonie da gustare fresche e in buona compagnia!!! Provale anche tu!","",""
"148.html","Pere williams biologiche","Pere williams biologiche","Pere Biologiche:  nella categoria dei frutti, le pere biologiche sono uno dei prodotti maggiormente consumati e commercializzati, sia in Europa che in Italia. Abitudinariamente, molti usano sbucciare le pere, ma dal punto di vista strettamente dietetico si tratta di un'abitudine assolutamente poco consigliabile; la buccia delle Pere Biologiche contiene elevate quantit� di fibra alimentare, componente nutrizionale dotata di un elevatissimo potenziale saziante. Le Pere Biologiche contengono l' 84% del proprio peso in acqua; inoltre le pere contengono calcio, il quale riduce il rischio di osteoporosi; il boro, alleato del cervello e migliora la prontezza dei riflessi; la pectina, importante per lintestino. Le Pere Biologiche sono un frutto davvero gustoso, adatto per preparare dolci, frullati e anche macedonie da gustare fresche e in buona compagnia!!! Provale anche tu!","","","Pere Biologiche:  nella categoria dei frutti, le pere biologiche sono uno dei prodotti maggiormente consumati e commercializzati, sia in Europa che in Italia. Abitudinariamente, molti usano sbucciare le pere, ma dal punto di vista strettamente dietetico si tratta di un'abitudine assolutamente poco consigliabile; la buccia delle Pere Biologiche contiene elevate quantit� di fibra alimentare, componente nutrizionale dotata di un elevatissimo potenziale saziante. Le Pere Biologiche contengono l' 84% del proprio peso in acqua; inoltre le pere contengono calcio, il quale riduce il rischio di osteoporosi; il boro, alleato del cervello e migliora la prontezza dei riflessi; la pectina, importante per lintestino. Le Pere Biologiche sono un frutto davvero gustoso, adatto per preparare dolci, frullati e anche macedonie da gustare fresche e in buona compagnia!!! Provale anche tu!","",""
"156.html","Radicchio Biologico naturale in cucina si presta a diversi impieghi: in particolare si preparano insalate crude e miste, radicchio in pinzimonio, ai ferri, saltato in padella oppure come ingrediente principale di risotti. Il suo succo viene utilizzato in cosmesi per produrre preparati per la pelle irritata e per il cuoio capelluto e per i capelli. Il Radicchio Biologico naturale, pu� essere consumato crudo o cotto. Nel primo caso, il procedimento di preparazione del radicchio crudo � identico a quello della comune insalata, anche se raramente viene consumato da solo e pi� spesso rappresenta un ingrediente essenziale delle "misticanze".  Per quel che concerne i radicchio cotto � molto usato per i risotti, molto sfiziosi e saporiti!","Radicchio Biologico naturale in cucina si presta a diversi impieghi: in particolare si preparano insalate crude e miste, radicchio in pinzimonio, ai ferri, saltato in padella oppure come ingrediente principale di risotti. Il suo succo viene utilizzato in cosmesi per produrre preparati per la pelle irritata e per il cuoio capelluto e per i capelli. Il Radicchio Biologico naturale, pu� essere consumato crudo o cotto. Nel primo caso, il procedimento di preparazione del radicchio crudo � identico a quello della comune insalata, anche se raramente viene consumato da solo e pi� spesso rappresenta un ingrediente essenziale delle "misticanze".  Per quel che concerne i radicchio cotto � molto usato per i risotti, molto sfiziosi e saporiti!","Radicchio Biologico naturale � un ortaggio con buone propriet� benefiche per la salute del nostro organismo: ha un sapore dolce amaro, e propriet� depurative, infatti grazie all'alto contenuto di acqua, la presenza di fibre e principi amari, favorisce la digestione ed il buon funzionamento dell'intestino. Grazie al suo basso apporto calorico il Radicchio Biologico naturale � un alimento molto indicato anche per le diete ed i regimi alimentari controllati. Il calcio ed il ferro presenti nel radicchio biologico sono in grado di favorire il metabolismo delle ossa rendendole pi� forti. Poich� l' apporto calorico del Radicchio Biologico naturale � molto basso viene utilizzato per le diete. Il Radicchio Biologico naturale previene le malattie dell' invecchiamento e ha anche notevoli propriet� depurative, diuretiche e toniche. Il Radicchio Biologico naturale pu� essere utilizzato nelle insalate miste, dona un sapore deciso ai piatti!","","","Radicchio Biologico naturale � un ortaggio con buone propriet� benefiche per la salute del nostro organismo: ha un sapore dolce amaro, e propriet� depurative, infatti grazie all'alto contenuto di acqua, la presenza di fibre e principi amari, favorisce la digestione ed il buon funzionamento dell'intestino. Grazie al suo basso apporto calorico il Radicchio Biologico naturale � un alimento molto indicato anche per le diete ed i regimi alimentari controllati. Il calcio ed il ferro presenti nel radicchio biologico sono in grado di favorire il metabolismo delle ossa rendendole pi� forti. Poich� l' apporto calorico del Radicchio Biologico naturale � molto basso viene utilizzato per le diete. Il Radicchio Biologico naturale previene le malattie dell' invecchiamento e ha anche notevoli propriet� depurative, diuretiche e toniche. Il Radicchio Biologico naturale pu� essere utilizzato nelle insalate miste, dona un sapore deciso ai piatti!","",""
"8.html","","Prugne biologiche","","","","","",""
"179.html","Peperoni Biologici naturali - Esistono vari tipi di peperone biologico che possono distinguersi in base al colore. Verde ti depura: il peperone biologico a questa tinta quando viene raccolto in anticipo e ha un gusto pungente. Ideale nella peperonata o nell'insalata. Rosso, il pi� saziante: ha una polpa croccante, spessa e zuccherina, sazia in fretta ed � il pi� ricco di principi nutritivi. Giallo � antiossidante: � il pi� tenero e succoso. Il Peperoni Biologici naturali � ottimo crudo, si usa col pomodoro per rendere corposi i sughi. Il Peperoni Biologici naturali � molto saporito e gustoso, ottimo anche per realizzare primi piatti buonissimi!!!","Peperoni Biologici naturali - Esistono vari tipi di peperone biologico che possono distinguersi in base al colore. Verde ti depura: il peperone biologico a questa tinta quando viene raccolto in anticipo e ha un gusto pungente. Ideale nella peperonata o nell'insalata. Rosso, il pi� saziante: ha una polpa croccante, spessa e zuccherina, sazia in fretta ed � il pi� ricco di principi nutritivi. Giallo � antiossidante: � il pi� tenero e succoso. Il Peperoni Biologici naturali � ottimo crudo, si usa col pomodoro per rendere corposi i sughi. Il Peperoni Biologici naturali � molto saporito e gustoso, ottimo anche per realizzare primi piatti buonissimi!!!","Peperoni Biologici naturali- in passato il peperone veniva utilizzato da Leonardo Da Vinci essiccato e pestato per le tinte dei suoi affreschi. Oggi i peperoni biologici si distinguono da colori accesi. Una delle principali caratteristiche nutrizionali del Peperoni Biologici naturali � che risulta essere molto ricco di Vitamina C. Grazie ai livelli record di Vitamina C, i Peperoni Biologici naturali svolgono un ruolo prezioso per lalimentazione e per la salute; anche se viene consumato in piccole quantit� a crudo, come ingrediente in uninsalata mista o cotto. La notevole quantit� e qualit� di fibre presente nei Peperoni Biologici naturali lo mettono tra le verdure pi� interessanti dal punto di vista dietetico. I  Peperoni Biologici naturali contiene pochissime calorie perch� � costituito per la maggior parte d' acqua.  I Peperoni Biologici naturali sono estremamente versatili; il peperone pu� essere cucinato con molte tecniche o pu� non essere cucinato affatto, e consumato sott?aceto o crudo a listarelle, insaporito con olio, pepe e sale. L?importante, al momento dell?acquisto, � controllare che i frutti siano sodi, senza grinze e ammaccature, e che abbiano il picciolo. In frigorifero resistono per qualche giorno, in genere non pi� di quattro.","","","Peperoni Biologici naturali- in passato il peperone veniva utilizzato da Leonardo Da Vinci essiccato e pestato per le tinte dei suoi affreschi. Oggi i peperoni biologici si distinguono da colori accesi. Una delle principali caratteristiche nutrizionali del Peperoni Biologici naturali � che risulta essere molto ricco di Vitamina C. Grazie ai livelli record di Vitamina C, i Peperoni Biologici naturali svolgono un ruolo prezioso per lalimentazione e per la salute; anche se viene consumato in piccole quantit� a crudo, come ingrediente in uninsalata mista o cotto. La notevole quantit� e qualit� di fibre presente nei Peperoni Biologici naturali lo mettono tra le verdure pi� interessanti dal punto di vista dietetico. I  Peperoni Biologici naturali contiene pochissime calorie perch� � costituito per la maggior parte d' acqua.  I Peperoni Biologici naturali sono estremamente versatili; il peperone pu� essere cucinato con molte tecniche o pu� non essere cucinato affatto, e consumato sott?aceto o crudo a listarelle, insaporito con olio, pepe e sale. L?importante, al momento dell?acquisto, � controllare che i frutti siano sodi, senza grinze e ammaccature, e che abbiano il picciolo. In frigorifero resistono per qualche giorno, in genere non pi� di quattro.","",""
"153.html","Aglio Biologico oltre ad essere molto utilizzato in cucina per insaporire tutti i tipi di piatti, viene usato anche per trattare piccole ferite, punture di insetti o micosi, in questo caso si pu� ricorrere al succo di aglio diluito in acqua, oppure ad una soluzione disinfettante preparata schiacciando da 5 a 10 spicchi d'aglio e diluendo il succo cos� ottenuto con un rapporto 1:10 in alcol 30%. Ecco le propriet� dell' aglio, non � vero che non fa bene, anzi, ha molti benefici per la salute! Aglio Biologico prodotto da Paniere Bio, biologico e naturale!","Aglio Biologico oltre ad essere molto utilizzato in cucina per insaporire tutti i tipi di piatti, viene usato anche per trattare piccole ferite, punture di insetti o micosi, in questo caso si pu� ricorrere al succo di aglio diluito in acqua, oppure ad una soluzione disinfettante preparata schiacciando da 5 a 10 spicchi d'aglio e diluendo il succo cos� ottenuto con un rapporto 1:10 in alcol 30%. Ecco le propriet� dell' aglio, non � vero che non fa bene, anzi, ha molti benefici per la salute! Aglio Biologico prodotto da Paniere Bio, biologico e naturale!","Aglio Biologico � una delle piante medicinali considerate da sempre indispensabili, poich� dotata di infinite propriet� salutari. Il bulbo dell'Aglio Biologico � uno dei rimedi pi� antichi e diffusi dalla medicina popolare. Infatti l'aglio ha un alto potere antibatterico. L'  Aglio Biologico contiene l'allicina che � un antibiotico notevole, il cui forte potere inibente su numerosi tipi di batteri, infatti in passato venne utilizzato per contrastare la peste. Oltre all'allicina l' aglio � ricco di sostanze minerali ed oligominerali, quali magnesio, calcio, fosforo, iodio e ferro; sono presenti tracce di zinco, manganese, selenio, vitamina C .","","","Aglio Biologico � una delle piante medicinali considerate da sempre indispensabili, poich� dotata di infinite propriet� salutari. Il bulbo dell'Aglio Biologico � uno dei rimedi pi� antichi e diffusi dalla medicina popolare. Infatti l'aglio ha un alto potere antibatterico. L'  Aglio Biologico contiene l'allicina che � un antibiotico notevole, il cui forte potere inibente su numerosi tipi di batteri, infatti in passato venne utilizzato per contrastare la peste. Oltre all'allicina l' aglio � ricco di sostanze minerali ed oligominerali, quali magnesio, calcio, fosforo, iodio e ferro; sono presenti tracce di zinco, manganese, selenio, vitamina C .","",""
"154.html","Salvia da coltura Biologica - una ricetta con la salvia INFUSO: 1 cucchiaio raso di foglie di salvia, 1 tazza dacqua Versare la Salvia da coltura Biologica nell' acqua bollente e spegnere il fuoco. Coprire e lasciare in infusione per 5 min. Filtrare l' infuso e berlo in caso di tensione nervosa, cattiva digestione, crampi.","Salvia da coltura Biologica - una ricetta con la salvia INFUSO: 1 cucchiaio raso di foglie di salvia, 1 tazza dacqua Versare la Salvia da coltura Biologica nell' acqua bollente e spegnere il fuoco. Coprire e lasciare in infusione per 5 min. Filtrare l' infuso e berlo in caso di tensione nervosa, cattiva digestione, crampi.","Salvia da coltura Biologica ( Salvia officinalis ) � una pianta della famiglia delle Laminaceae. La Salvia da coltura Biologica � molto usata in cucina per aromatizzare diverse pietanze, � in realt� utilissima anche per le sue propriet� antisettiche, antinfiammatorie e diuretiche. Le foglie della Salvia da coltura Biologica contengono principi amari, acidi fenolici e un olio essenziale. La salvia viene impiegata in tutti i disturbi femminili. La salvia � utilizzata nelle affezioni dellapparato gastro intestinale, come rilassante della muscolatura liscia, in quanto esplica unazione antispasmodica, utile in caso di intestino irritabile, spasmi allapparato digerente I preparati a base di Salvia da coltura Biologica sono efficaci per combattere tutte le forme di catarro grazie alla presenza dellolio essenziale dallepropriet� antisettiche e balsamiche. Per questa ragione trova impiego nella cura delle patologie dellapparato respiratorio in caso di raffreddore, tosse, mal di gola e febbre.","","","Salvia da coltura Biologica ( Salvia officinalis ) � una pianta della famiglia delle Laminaceae. La Salvia da coltura Biologica � molto usata in cucina per aromatizzare diverse pietanze, � in realt� utilissima anche per le sue propriet� antisettiche, antinfiammatorie e diuretiche. Le foglie della Salvia da coltura Biologica contengono principi amari, acidi fenolici e un olio essenziale. La salvia viene impiegata in tutti i disturbi femminili. La salvia � utilizzata nelle affezioni dellapparato gastro intestinale, come rilassante della muscolatura liscia, in quanto esplica unazione antispasmodica, utile in caso di intestino irritabile, spasmi allapparato digerente I preparati a base di Salvia da coltura Biologica sono efficaci per combattere tutte le forme di catarro grazie alla presenza dellolio essenziale dallepropriet� antisettiche e balsamiche. Per questa ragione trova impiego nella cura delle patologie dellapparato respiratorio in caso di raffreddore, tosse, mal di gola e febbre.","",""
"149.html","Le pere biologiche sono uno dei prodotti maggiormente consumati e commercializzati, sia in Europa che in Italia. Abitudinariamente, molti usano sbucciare le pere, ma dal punto di vista strettamente dietetico si tratta di un'abitudine assolutamente poco consigliabile; la buccia delle Pere Biologiche - naturali contiene elevate quantit� di fibra alimentare, componente nutrizionale dotata di un elevatissimo potenziale saziante. Le Pere Biologiche - naturali contengono l' 84% del proprio peso in acqua; inoltre le pere contengono calcio, il quale riduce il rischio di osteoporosi; il boro, alleato del cervello e migliora la prontezza dei riflessi; la pectina, importante per l'intestino. Le Pere Biologiche - naturali sono un frutto davvero gustoso, adatto per preparare dolci, frullati e anche macedonie da gustare fresche e in buona compagnia!!! Provale anche tu!","Le pere biologiche sono uno dei prodotti maggiormente consumati e commercializzati, sia in Europa che in Italia. Abitudinariamente, molti usano sbucciare le pere, ma dal punto di vista strettamente dietetico si tratta di un'abitudine assolutamente poco consigliabile; la buccia delle Pere Biologiche - naturali contiene elevate quantit� di fibra alimentare, componente nutrizionale dotata di un elevatissimo potenziale saziante. Le Pere Biologiche - naturali contengono l' 84% del proprio peso in acqua; inoltre le pere contengono calcio, il quale riduce il rischio di osteoporosi; il boro, alleato del cervello e migliora la prontezza dei riflessi; la pectina, importante per l'intestino. Le Pere Biologiche - naturali sono un frutto davvero gustoso, adatto per preparare dolci, frullati e anche macedonie da gustare fresche e in buona compagnia!!! Provale anche tu!","Le pere biologiche sono uno dei prodotti maggiormente consumati e commercializzati, sia in Europa che in Italia. Abitudinariamente, molti usano sbucciare le pere, ma dal punto di vista strettamente dietetico si tratta di un'abitudine assolutamente poco consigliabile; la buccia delle Pere Biologiche - naturali contiene elevate quantit� di fibra alimentare, componente nutrizionale dotata di un elevatissimo potenziale saziante. Le Pere Biologiche - naturali contengono l' 84% del proprio peso in acqua; inoltre le pere contengono calcio, il quale riduce il rischio di osteoporosi; il boro, alleato del cervello e migliora la prontezza dei riflessi; la pectina, importante per l'intestino. Le Pere Biologiche - naturali sono un frutto davvero gustoso, adatto per preparare dolci, frullati e anche macedonie da gustare fresche e in buona compagnia!!! Provale anche tu!","","","Le pere biologiche sono uno dei prodotti maggiormente consumati e commercializzati, sia in Europa che in Italia. Abitudinariamente, molti usano sbucciare le pere, ma dal punto di vista strettamente dietetico si tratta di un'abitudine assolutamente poco consigliabile; la buccia delle Pere Biologiche - naturali contiene elevate quantit� di fibra alimentare, componente nutrizionale dotata di un elevatissimo potenziale saziante. Le Pere Biologiche - naturali contengono l' 84% del proprio peso in acqua; inoltre le pere contengono calcio, il quale riduce il rischio di osteoporosi; il boro, alleato del cervello e migliora la prontezza dei riflessi; la pectina, importante per l'intestino. Le Pere Biologiche - naturali sono un frutto davvero gustoso, adatto per preparare dolci, frullati e anche macedonie da gustare fresche e in buona compagnia!!! Provale anche tu!","",""
"146.html","","Pere Cotogne Biologiche","","","","","",""
"24.html","Il cavolo rapa biologico � una variet� di cavolo dal fusto commestibile e ingrossato, verde o porpora. La parte inferiore del fusto, ingrossata, assomiglia ad una grossa rapa, di cui ricorda anche il sapore. Il cavolo rapa appartiene alla famiglia delle Crocifere ed � diffuso soprattutto qui da noi, dove il mare e il sole la fanno da padrone, ed � anche per questo che questo cavolo � ricco di vitamine, contiene vitamina C, betacarotene, che nel corpo si trasforma in vitamina A, acido folico e esigue dosi di vitamine del gruppo B. Le tenere foglie del cavolo rapa sono pi� ricche di sali minerali rispetto alla radice ingrossata. Per questo si consiglia di non gettarle. 100 gr di prodotto contegono: 1,9 gr di proteine, 0,2 gr di grassi, 3,7 gr di carboidrati, 100 kJ/24 kcal.","Il cavolo rapa biologico � una variet� di cavolo dal fusto commestibile e ingrossato, verde o porpora. La parte inferiore del fusto, ingrossata, assomiglia ad una grossa rapa, di cui ricorda anche il sapore. Il cavolo rapa appartiene alla famiglia delle Crocifere ed � diffuso soprattutto qui da noi, dove il mare e il sole la fanno da padrone, ed � anche per questo che questo cavolo � ricco di vitamine, contiene vitamina C, betacarotene, che nel corpo si trasforma in vitamina A, acido folico e esigue dosi di vitamine del gruppo B. Le tenere foglie del cavolo rapa sono pi� ricche di sali minerali rispetto alla radice ingrossata. Per questo si consiglia di non gettarle. 100 gr di prodotto contegono: 1,9 gr di proteine, 0,2 gr di grassi, 3,7 gr di carboidrati, 100 kJ/24 kcal.","Il cavolo rapa biologico � una variet� di cavolo dal fusto commestibile e ingrossato, verde o porpora. La parte inferiore del fusto, ingrossata, assomiglia ad una grossa rapa, di cui ricorda anche il sapore. Il cavolo rapa appartiene alla famiglia delle Crocifere ed � diffuso soprattutto qui da noi, dove il mare e il sole la fanno da padrone, ed � anche per questo che questo cavolo � ricco di vitamine, contiene vitamina C, betacarotene, che nel corpo si trasforma in vitamina A, acido folico e esigue dosi di vitamine del gruppo B. Le tenere foglie del cavolo rapa sono pi� ricche di sali minerali rispetto alla radice ingrossata. Per questo si consiglia di non gettarle. 100 gr di prodotto contegono: 1,9 gr di proteine, 0,2 gr di grassi, 3,7 gr di carboidrati, 100 kJ/24 kcal.","","","Il cavolo rapa biologico � una variet� di cavolo dal fusto commestibile e ingrossato, verde o porpora. La parte inferiore del fusto, ingrossata, assomiglia ad una grossa rapa, di cui ricorda anche il sapore. Il cavolo rapa appartiene alla famiglia delle Crocifere ed � diffuso soprattutto qui da noi, dove il mare e il sole la fanno da padrone, ed � anche per questo che questo cavolo � ricco di vitamine, contiene vitamina C, betacarotene, che nel corpo si trasforma in vitamina A, acido folico e esigue dosi di vitamine del gruppo B. Le tenere foglie del cavolo rapa sono pi� ricche di sali minerali rispetto alla radice ingrossata. Per questo si consiglia di non gettarle. 100 gr di prodotto contegono: 1,9 gr di proteine, 0,2 gr di grassi, 3,7 gr di carboidrati, 100 kJ/24 kcal.","",""
